category,sample,p-value test,country,year,coef,std.error,t-stat,p-value,Signif.
Cement production,EU15 ,0.05,Austria,2007,0.234803,0.033129,7.0875,1.14E-11,***
Cement production,EU15 ,0.01,Austria,2007,0.29097,0.039989,7.2762,3.30E-12,***
Cement production,EU15 ,0.001,Austria,2007,0.270926,0.044168,6.134,2.62E-09,***
Cement production,EU31 ,0.05,Austria,2007,0.262819,0.044945,5.8476,8.13E-09,***
Cement production,EU31 ,0.01,Austria,2007,0.250266,0.048942,5.1135,4.20E-07,***
Glass Production,EU15 ,0.05,Austria,2008,0.300096,0.065977,4.5485,8.16E-06,***
Glass Production,EU31 ,0.05,Austria,2007,0.2801599,0.0599191,4.6756,3.61E-06,***
Glass Production,EU31 ,0.01,Austria,2007,0.202803,0.068694,2.9522,0.0032735,**
Incineration and Open Burning of Waste,EU15 ,0.05,Austria,2009,-2.180618,0.137639,-15.843,2.20E-16,***
Incineration and Open Burning of Waste,EU15 ,0.01,Austria,2009,-2.19485,0.17348,-12.6518,2.20E-16,***
Incineration and Open Burning of Waste,EU15 ,0.001,Austria,2009,-2.52271,0.2159,-11.6845,2.20E-16,***
Incineration and Open Burning of Waste,EU31 ,0.05,Austria,2010,-2.12126,0.169095,-12.5448,2.20E-16,***
Incineration and Open Burning of Waste,EU31 ,0.01,Austria,2010,-2.359984,0.207454,-11.376,2.20E-16,***
Incineration and Open Burning of Waste,EU31 ,0.001,Austria,2010,-2.291502,0.230714,-9.9322,2.20E-16,***
Lime production,EU15 ,0.05,Austria,2001,0.597656,0.046195,12.9376,2.20E-16,***
Lime production,EU15 ,0.05,Austria,2006,-0.625428,0.082133,-7.6148,8.73E-13,***
Lime production,EU15 ,0.05,Austria,2009,0.298926,0.078729,3.7969,0.0001915,***
Lime production,EU15 ,0.01,Austria,2001,0.619866,0.053776,11.5268,2.20E-16,***
Lime production,EU15 ,0.01,Austria,2006,-0.797518,0.064236,-12.4154,2.20E-16,***
Lime production,EU15 ,0.01,Austria,2009,0.500015,0.058431,8.5574,1.18E-15,***
Lime production,EU15 ,0.001,Austria,2001,0.577482,0.068839,8.3889,3.44E-15,***
Lime production,EU15 ,0.001,Austria,2006,-0.806104,0.082458,-9.776,2.20E-16,***
Lime production,EU15 ,0.001,Austria,2009,0.496288,0.074538,6.6582,1.70E-10,***
Liming,EU15 ,0.05,Austria,2004,0.378679,0.062667,6.0427,5.55E-09,***
Liming,EU15 ,0.05,Austria,2010,0.508928,0.061915,8.2198,1.16E-14,***
Liming,EU15 ,0.01,Austria,2010,0.74739,0.060823,12.2879,2.20E-16,***
Liming,EU15 ,0.001,Austria,2010,0.794721,0.071409,11.1292,2.20E-16,***
Liming,EU31 ,0.05,Austria,2013,8.57E-01,1.10E-01,7.768,3.80E-14,***
Liming,EU31 ,0.01,Austria,2010,0.720177,0.107081,6.7256,4.26E-11,***
Manufacturing Industries and Construction,EU15 ,0.05,Austria,2008,0.279134,0.030703,9.0914,2.20E-16,***
Manufacturing Industries and Construction,EU15 ,0.01,Austria,2008,0.4075331,0.0287348,14.1826,2.20E-16,***
Manufacturing Industries and Construction,EU15 ,0.001,Austria,2003,0.212201,0.040355,5.2583,2.72E-07,***
Manufacturing Industries and Construction,EU15 ,0.001,Austria,2008,0.296932,0.038612,7.6901,1.98E-13,***
Manufacturing Industries and Construction,EU31 ,0.05,Austria,2008,0.39318,0.03296,11.9291,2.20E-16,***
Manufacturing Industries and Construction,EU31 ,0.01,Austria,2008,0.3740393,0.0390371,9.5816,2.20E-16,***
Manufacturing Industries and Construction,EU31 ,0.001,Austria,2008,0.360283,0.042983,8.3819,3.26E-16,***
Metal Industry,EU15 ,0.05,Austria,2002,0.328845,0.048729,6.7484,8.58E-11,***
Metal Industry,EU15 ,0.05,Austria,2010,0.318185,0.046138,6.8963,3.55E-11,***
Metal Industry,EU15 ,0.01,Austria,2002,0.508088,0.04857,10.4609,2.20E-16,***
Metal Industry,EU15 ,0.001,Austria,2002,0.515372,0.054001,9.5437,2.20E-16,***
Metal Industry,EU31 ,0.05,Austria,2007,0.533989,0.061942,8.6208,2.20E-16,***
Metal Industry,EU31 ,0.01,Austria,2007,5.17E-01,7.04E-02,7.348,7.30E-13,***
Non-Energy Products from Fuels and Solvent Use,EU15 ,0.05,Austria,2000,0.142979,0.028927,4.9428,1.33E-06,***
Non-Energy Products from Fuels and Solvent Use,EU15 ,0.01,Austria,2000,0.148928,0.0300179,4.9613,1.19E-06,***
Non-Energy Products from Fuels and Solvent Use,EU31 ,0.05,Austria,2000,0.1387381,0.0309158,4.4876,8.58E-06,***
Other Transportation,EU15 ,0.05,Austria,2009,1.0442,0.18578,5.6206,1.33E-07,***
Other Transportation,EU31 ,0.05,Austria,2009,1.15321,0.18094,6.3735,8.79E-10,***
Railways,EU15 ,0.05,Austria,2005,0.450613,0.064764,6.9577,2.39E-11,***
Railways,EU15 ,0.01,Austria,2005,0.456155,0.073416,6.2133,1.76E-09,***
Railways,EU31 ,0.05,Austria,2004,0.39773,0.061847,6.4309,2.82E-10,***
Railways,EU31 ,0.01,Austria,2004,3.93E-01,6.85E-02,5.7448,1.53E-08,***
Road Transportation,EU15 ,0.05,Austria,2002,1.28E-01,1.82E-02,7.0535,1.27E-11,***
Road Transportation,EU15 ,0.05,Austria,2013,8.94E-02,1.71E-02,5.2297,3.24E-07,***
Road Transportation,EU15 ,0.01,Austria,2002,0.1455575,0.0191856,7.5868,4.09E-13,***
Road Transportation,EU15 ,0.01,Austria,2013,0.0810268,0.0198513,4.0817,5.73E-05,***
Road Transportation,EU15 ,0.001,Austria,2001,0.140438,0.022585,6.2181,1.63E-09,***
Road Transportation,EU15 ,0.001,Austria,2013,0.083054,0.0223,3.7243,0.0002327,***
Road Transportation,EU31 ,0.05,Austria,2002,0.158274,0.020288,7.8014,2.55E-14,***
Road Transportation,EU31 ,0.01,Austria,2002,0.1504121,0.0239536,6.2793,6.22E-10,***
Road Transportation,EU31 ,0.001,Austria,2002,1.70E-01,2.62E-02,6.4943,1.64E-10,***
Urea application,EU15 ,0.05,Austria,2010,0.805869,0.113427,7.1048,1.33E-11,***
Urea application,EU15 ,0.01,Austria,2010,0.98226,0.12008,8.18,1.10E-14,***
Urea application,EU31 ,0.05,Austria,2010,1.039963,0.116736,8.9087,2.20E-16,***
Urea application,EU31 ,0.01,Austria,2010,1.041561,0.122884,8.476,2.37E-16,***
Water-borne Navigation,EU15 ,0.05,Austria,2015,-0.489145,0.086614,-5.6474,4.19E-08,***
Water-borne Navigation,EU15 ,0.01,Austria,2015,-0.509292,0.09114,-5.588,5.48E-08,***
Water-borne Navigation,EU15 ,0.001,Austria,2015,-0.5799502,0.1081079,-5.3645,1.69E-07,***
Water-borne Navigation,EU31 ,0.05,Austria,2016,-0.636035,0.107967,-5.891,7.36E-09,***
Water-borne Navigation,EU31 ,0.01,Austria,2016,-0.667846,0.129621,-5.1523,3.70E-07,***
Water-borne Navigation,EU31 ,0.001,Austria,2014,-0.545439,0.124907,-4.3667,1.52E-05,***
